,brand_name,brand_id,item_name,item_id,item_type,tag,calories,total_fat,saturated_fat,cholesterol,carbs,sugar,protein,sodium,dietary_fiber,servings_per_container,serving_size_qty,serving_size_unit,serving_weight_grams,last_updated
337,McDonald's,513fbc1283aa2dc80c000053,Fruit & Maple Oatmeal without Brown Sugar,513fc9e73fe3ffd4030010e2,entree,breakfast,260.0,4.0,1.5,5.0,49.0,18.0,6.0,115,5.0,,1.0,oatmeal,250.0,2017-09-06
338,McDonald's,513fbc1283aa2dc80c000053,"Latte Hazelnut, Large",513fc9e73fe3ffd4030010e7,drink,coffee,420.0,14.0,8.0,40.0,62.0,58.0,15.0,180,1.0,,20.0,fl oz cup,,2017-09-06
339,McDonald's,513fbc1283aa2dc80c000053,"Hot Chocolate, Medium",513fc9e73fe3ffd4030010f4,drink,none,440.0,16.0,9.0,50.0,61.0,56.0,14.0,220,1.0,,16.0,fl oz cup,,2017-09-06
340,McDonald's,513fbc1283aa2dc80c000053,Hot Fudge Sundae,513fc9e73fe3ffd4030010f9,dessert,none,380.0,14.0,8.0,25.0,43.0,47.0,10.0,180,3.0,,1.0,sundae,179.0,2017-09-06
341,McDonald's,513fbc1283aa2dc80c000053,"Iced Coffee Sugar Free French Vanilla, Large",513fc9e73fe3ffd403001102,drink,coffee,130.0,7.0,4.5,30.0,16.0,2.0,3.0,130,0.0,,32.0,fl oz cup,,2017-09-06
342,McDonald's,513fbc1283aa2dc80c000053,"Iced Coffee Caramel, Small",513fc9e73fe3ffd403001107,drink,coffee,120.0,4.0,2.5,15.0,22.0,20.0,1.0,40,0.0,,16.0,fl oz cup,,2017-09-06
343,McDonald's,513fbc1283aa2dc80c000053,"Iced Coffee Hazelnut, Small",513fc9e73fe3ffd40300110d,drink,coffee,110.0,4.0,2.5,15.0,18.0,17.0,2.0,40,0.0,,16.0,fl oz cup,,2017-09-06
344,McDonald's,513fbc1283aa2dc80c000053,"Iced Tea, Extra Small",513fc9e73fe3ffd40300111a,drink,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,,12.0,fl oz cup,,2017-09-06
345,McDonald's,513fbc1283aa2dc80c000053,Kiddie Cone,513fc9e73fe3ffd40300111f,dessert,none,45.0,1.0,0.5,5.0,5.0,6.0,1.0,20,0.0,,1.0,cone,29.0,2017-09-06
346,McDonald's,513fbc1283aa2dc80c000053,Large French Fries,513fc9e73fe3ffd403001121,side,none,510.0,24.0,3.5,0.0,66.0,0.0,7.0,350,6.0,,1.0,fries,168.0,2017-09-06
